name,descripcion,price_fivety_units,price_one_hundred_units,price_two_hundred_units,category,stock
pantalón_xxl_verde,Ideal para uso diario.,1058,1182,462,deportivo,177
camiseta_xxl_blanco,Prenda cómoda y ligera.,510,975,739,deportivo,33
camiseta_s_negro,Diseño moderno y elegante.,1292,457,873,casual,457
falda_s_blanco,Ideal para uso diario.,1138,986,386,casual,414
sudadera_xl_verde,Diseño moderno y elegante.,603,799,367,formal,151
chaqueta_s_amarillo,Prenda cómoda y ligera.,961,636,1014,deportivo,223
pantalón_l_gris,Diseño moderno y elegante.,1331,1222,516,deportivo,436
falda_xxl_blanco,Prenda cómoda y ligera.,1286,1306,613,casual,441
sudadera_l_azul,Material de alta calidad.,889,991,608,casual,187
pantalón_xxl_gris,Diseño moderno y elegante.,647,1149,542,formal,462
chaqueta_s_azul,Material de alta calidad.,464,1109,555,deportivo,65
pantalón_m_blanco,Material de alta calidad.,786,941,640,formal,65
falda_xl_azul,Material de alta calidad.,762,1123,898,deportivo,454
chaqueta_l_gris,Diseño moderno y elegante.,430,903,940,casual,193
falda_l_azul,Prenda cómoda y ligera.,952,530,1107,deportivo,246
camiseta_s_azul,Material de alta calidad.,1128,1351,737,deportivo,348
camiseta_xxl_rojo,Diseño moderno y elegante.,1292,962,816,deportivo,302
pantalón_l_verde,Material de alta calidad.,1017,639,1238,formal,334
pantalón_s_verde,Prenda cómoda y ligera.,525,544,1205,casual,257
sudadera_s_negro,Perfecta para actividades al aire libre.,596,1276,791,deportivo,166
sudadera_s_verde,Ideal para uso diario.,967,724,768,casual,64
falda_xl_negro,Perfecta para actividades al aire libre.,464,1368,711,deportivo,196
chaqueta_xl_amarillo,Diseño moderno y elegante.,1465,1069,464,casual,282
camisa_m_verde,Ideal para uso diario.,1100,842,572,casual,206
camiseta_s_rojo,Perfecta para actividades al aire libre.,1010,743,431,deportivo,298
falda_m_azul,Diseño moderno y elegante.,1120,765,400,deportivo,482
camisa_xxl_verde,Diseño moderno y elegante.,783,771,1035,deportivo,264
sudadera_xxl_amarillo,Material de alta calidad.,1261,479,310,deportivo,194
sudadera_s_negro,Ideal para uso diario.,925,938,1270,formal,208
pantalón_xxl_rojo,Material de alta calidad.,1379,539,913,formal,19
pantalón_m_verde,Diseño moderno y elegante.,1338,449,406,casual,340
chaqueta_m_rojo,Material de alta calidad.,777,1083,702,deportivo,142
chaqueta_s_amarillo,Diseño moderno y elegante.,1089,438,567,casual,333
sudadera_xxl_rojo,Perfecta para actividades al aire libre.,1271,559,1221,formal,304
camiseta_s_azul,Diseño moderno y elegante.,424,1046,382,deportivo,443
sudadera_xl_rojo,Material de alta calidad.,840,1152,1270,deportivo,376
camisa_s_rojo,Perfecta para actividades al aire libre.,1090,818,986,formal,121
camiseta_xxl_amarillo,Ideal para uso diario.,548,880,1278,formal,480
sudadera_xl_blanco,Ideal para uso diario.,717,590,865,deportivo,248
falda_m_blanco,Diseño moderno y elegante.,1071,583,831,casual,323
pantalón_xl_azul,Diseño moderno y elegante.,815,1187,703,deportivo,405
camisa_l_blanco,Diseño moderno y elegante.,551,1055,921,casual,111
camiseta_s_rojo,Diseño moderno y elegante.,1049,573,356,casual,37
chaqueta_xl_gris,Ideal para uso diario.,1052,368,452,deportivo,260
pantalón_m_verde,Perfecta para actividades al aire libre.,960,1164,360,deportivo,405
chaqueta_xxl_negro,Material de alta calidad.,1055,570,1021,formal,297
chaqueta_s_verde,Perfecta para actividades al aire libre.,1180,769,482,formal,473
falda_m_gris,Material de alta calidad.,874,993,766,deportivo,374
camisa_xl_azul,Perfecta para actividades al aire libre.,1151,422,621,deportivo,441
camisa_l_negro,Ideal para uso diario.,835,1207,911,deportivo,486
chaqueta_l_blanco,Ideal para uso diario.,1070,1281,1014,casual,320
camiseta_l_amarillo,Diseño moderno y elegante.,1356,974,699,casual,148
falda_l_gris,Material de alta calidad.,1283,1190,433,deportivo,252
chaqueta_s_verde,Ideal para uso diario.,507,521,1207,formal,136
chaqueta_l_azul,Perfecta para actividades al aire libre.,407,641,1259,casual,18
camiseta_m_gris,Prenda cómoda y ligera.,457,959,1148,formal,360
camiseta_l_blanco,Ideal para uso diario.,445,1191,812,deportivo,103
sudadera_m_negro,Diseño moderno y elegante.,1008,1071,1212,casual,319
sudadera_xxl_rojo,Perfecta para actividades al aire libre.,1167,674,1263,casual,218
camisa_m_rojo,Material de alta calidad.,527,822,791,casual,19
falda_l_verde,Ideal para uso diario.,1390,971,1123,casual,317
camisa_m_azul,Material de alta calidad.,1438,1342,1009,casual,253
camiseta_l_verde,Perfecta para actividades al aire libre.,778,1177,977,formal,449
camiseta_m_verde,Perfecta para actividades al aire libre.,404,1221,1012,formal,350
camiseta_s_gris,Ideal para uso diario.,987,490,904,casual,226
camiseta_l_blanco,Material de alta calidad.,599,1336,1246,deportivo,100
pantalón_xl_gris,Diseño moderno y elegante.,756,1288,425,casual,249
camiseta_xl_negro,Perfecta para actividades al aire libre.,541,1095,681,formal,245
falda_l_negro,Prenda cómoda y ligera.,975,457,798,deportivo,480
falda_xxl_azul,Perfecta para actividades al aire libre.,973,785,628,formal,51
sudadera_xxl_azul,Perfecta para actividades al aire libre.,1491,529,476,casual,114
camiseta_s_verde,Ideal para uso diario.,1067,372,366,formal,391
chaqueta_xl_rojo,Diseño moderno y elegante.,1117,565,358,deportivo,347
